"cell_id","lat","long","proportion_cover","cell_category_all","pcoldq","pwarmq","amt","ts","arid","th","clay"
1325,-27.51666683,134.55000019,1,"land",-0.521787447832833,-0.761380651607575,-0.0632375114369251,0.996027294717312,-0.749352928073819,-0.232210716524364,1.31998441094089
1326,-27.51666683,135.38333353,1,"land",-0.499642199817769,-0.778157531392334,0.0607793450053844,1.08749933162285,-0.774912770044775,-0.419139304366852,1.6316416604045
1327,-27.51666683,136.21666687,1,"land",-0.523967208800685,-0.942574842578743,0.117704031449296,1.15306804204755,-0.82260463781922,-0.283409463124092,1.79216931450402
1328,-27.51666683,137.05000021,1,"land",-0.369827251900529,-0.984637867232602,0.194109686538295,1.22219374551833,-0.836038931458432,-0.758938403359995,0.66220722155463
1329,-27.51666683,137.88333355,1,"land",-0.307666856818893,-0.924403999426416,0.19614911941545,1.27323033246584,-0.819944874123289,-0.8232116102003,0.565974688694631
1330,-27.51666683,138.71666689,1,"land",-0.487374755378622,-0.918481164519877,0.187563714110541,1.31099826293657,-0.795150723919348,-0.614311645012979,1.55245772692498
1331,-27.51666683,139.55000023,1,"land",-0.568098095194503,-0.931679455747423,0.220984779850677,1.324218705801,-0.780812060847424,-0.714223690059306,0.56391578703719
1332,-27.51666683,140.38333357,1,"land",-0.530626735828685,-0.737119156740852,0.275577722200201,1.30534600542834,-0.768279135435173,-0.675412120528911,1.05483292556809
1333,-27.51666683,141.21666691,1,"land",-0.483487494483081,-0.635836706094179,0.263610500966691,1.27807917996633,-0.729348757147159,-0.34585105043338,1.20703316375743
1334,-27.51666683,142.05000025,1,"land",-0.416468002431642,-0.698039154044785,0.275962223878254,1.26486819958656,-0.680667955477983,-0.429627680264756,1.89276680265812
1335,-27.51666683,142.88333359,1,"land",-0.351224920804039,-0.609359428026235,0.207766466607411,1.19337867732687,-0.61278529301932,-0.502161605657647,1.24026044340507
1336,-27.51666683,143.71666693,1,"land",-0.345190696583744,-0.464631506911052,0.107170484308922,1.12184229323834,-0.532727544034002,-0.43998680304718,0.90399621228108
1337,-27.51666683,144.55000027,1,"land",-0.30573744632827,-0.353187810379672,0.0385457041130942,1.03608604766666,-0.45873632987176,-0.446549345519814,0.756023739092292
1338,-27.51666683,145.38333361,1,"land",-0.268740537292207,-0.266895588214452,-0.0454915222935054,0.931959965193232,-0.380744435244481,-0.554902804565356,0.800635020427084
1339,-27.51666683,146.21666695,1,"land",-0.180659120266047,-0.253065407662709,-0.11102185097275,0.90204769937481,-0.315884718977582,-0.571505084486301,0.730894875780855
1340,-27.51666683,147.05000029,1,"land",-0.115530840814477,-0.153290713806413,-0.184645602692823,0.863904423678931,-0.2423861417592,-0.438969743872286,0.85656624640356
1341,-27.51666683,147.88333363,1,"land",-0.0241458900486456,-0.0678730497434632,-0.283317727472356,0.778201348259192,-0.159882629687962,-0.411673931948688,0.432040133749567
1342,-27.51666683,148.71666697,1,"land",0.106508577450102,0.0611120981064678,-0.324292115065787,0.652134918002707,-0.0638134480258042,-0.492775628695912,1.19134808927928
1343,-27.51666683,149.55000031,1,"land",0.126423773387871,0.122645218624029,-0.410756873704114,0.506666338826671,-0.0206094076497384,-0.375404363067915,1.67936433381673
1344,-27.51666683,150.38333365,1,"land",0.122277467407871,0.223486510622796,-0.532986134625653,0.364758357452774,0.0710565659761659,-0.354085707142703,1.4901024694546
1345,-27.51666683,151.21666699,1,"land",0.138890213825575,0.360790871810211,-0.706154897390873,0.0741370658508033,0.171405686638402,-0.384384081884659,1.45215277176323
1346,-27.51666683,152.05000033,1,"land",0.272451390687995,0.826182354062447,-0.8025353022273,-0.29525963590781,0.609562694118065,2.0624564313789,1.68336344832803
1347,-27.51666683,152.88333367,0.9,"land",0.580821544920176,1.55627882104053,-0.468595369984052,-0.616353282301635,1.16305179296634,0.777510124661191,1.08509193787202
1348,-27.51666683,153.71666701,0.1,"land",2.11954450931918,1.95938696574947,-0.387512735419328,-1.02912533788566,2.55064375310018,-0.158829082836139,-1.38311451679007
1349,NA,NA,0,"ocean",NA,NA,NA,NA,NA,NA,NA
1350,NA,NA,0,"ocean",NA,NA,NA,NA,NA,NA,NA
1351,NA,NA,0,"ocean",NA,NA,NA,NA,NA,NA,NA
1352,NA,NA,0,"ocean",NA,NA,NA,NA,NA,NA,NA
1353,NA,NA,0,"ocean",NA,NA,NA,NA,NA,NA,NA
1354,NA,NA,0,"ocean",NA,NA,NA,NA,NA,NA,NA
1355,-28.35000017,114.55000003,0.68,"land",1.54047649530426,-0.98294532039849,-0.416668755645255,-0.0711415877401146,-0.175570810545472,0.289641548927554,-0.857014787843681
1356,-28.35000017,115.38333337,1,"land",0.815175946483573,-0.933919437933507,-0.322329132814678,0.553507890904794,-0.430372519928588,-0.370953954136014,-0.887559176903287
1357,-28.35000017,116.21666671,1,"land",0.402747398504513,-0.923870069920706,-0.253238003799973,0.926504617484995,-0.591302296259328,-0.434184721313541,-0.6832345688412
