"lat","long","cell_category","proportion_cover","cell_id","amt","arid","ts","pwarmq","pcoldq","th","clay"
-26.68333255,149.54999845,"land",1,1289,-0.431006064485303,0.0314466087506932,0.406537937873242,0.225687817507627,0.109205643785798,-0.141980947809513,1.45135624148905
-26.68333255,150.38333175,"land",1,1290,-0.517297551857743,0.13819479216111,0.244765059325578,0.327244469964474,0.121633776424691,-0.452814201234535,0.976771078967511
-26.68333255,151.21666505,"land",1,1291,-0.663903671050891,0.176347179386657,-0.0113510887303656,0.426589058835478,0.131549498962961,0.748197630744407,1.3879813504976
-26.68333255,152.04999835,"land",1,1292,-0.749675891295205,0.674433872145098,-0.258192869544362,0.949790358711329,0.463216382973265,1.1912629478225,0.8745117905944
-26.68333255,152.88333165,"land",0.8,1293,-0.500982484672663,2.02220912219132,-0.691642811783846,2.05900705197937,1.13238343830138,1.96123498717406,0.554760504804406
-26.68333255,153.71666495,"land",0.01,1294,-0.299194108757075,2.89870581161307,-1.03458016798294,1.78052074899397,2.37770121004452,-0.275313635060175,-1.19138519153176
-27.51666585,113.71666655,"land",0.08,1300,-0.218709503783649,-0.434254208414095,-0.428665754511152,-1.00440674079567,1.2640807711628,-0.377738428414134,-1.25291975691698
-27.51666585,114.54999985,"land",1,1301,-0.250956262423164,-0.433020385345434,0.147126575869384,-0.929484701014046,0.949140253614413,-0.195212630851961,-1.27996429968655
-27.51666585,115.38333315,"land",1,1302,-0.115840165861463,-0.614650352341378,0.788057224294516,-0.87206493507975,0.335983819583976,-0.443675252765623,-1.00068877367391
-27.51666585,116.21666645,"land",1,1303,-0.0169391267286539,-0.693264194586508,1.05353980431496,-0.921462645389715,0.18533866416384,-0.217694507019306,-0.500819656121601
-27.51666585,117.04999975,"land",1,1304,-0.0879891789504227,-0.682663568385824,1.16112633147935,-0.830799223298458,0.160282068521675,-0.302388175206815,-0.540872787791569
-27.51666585,117.88333305,"land",1,1305,-0.0354941521146085,-0.672596877101815,1.21419911719696,-0.834708003497058,-0.0207099005431085,-0.50378351602867,-0.465348840326557
-27.51666585,118.71666635,"land",1,1306,-0.128089740409961,-0.663610189709954,1.28219254026517,-0.811521807374963,-0.0224343557527085,-0.312173426652824,-0.639891811274628
-27.51666585,119.54999965,"land",1,1307,-0.200933379089883,-0.654562723035546,1.32343358092262,-0.781179275840958,-0.127784672874106,-0.520990819746441,-0.612206928163572
-27.51666585,120.38333295,"land",1,1308,-0.15577603774657,-0.668869504949953,1.24389713127978,-0.738137234438625,-0.210640235530025,-0.476278016022196,-0.610919892825221
-27.51666585,121.21666625,"land",1,1309,-0.0792687309928176,-0.689947600287463,1.1288570969112,-0.671591447415155,-0.271176196181304,-0.366833981052767,-0.576051463539571
-27.51666585,122.04999955,"land",1,1310,-0.225194043284013,-0.691071344918516,1.04419578428769,-0.720647976083106,-0.310456962259149,-0.395768147197756,-0.753661469731207
