"AEM","Ancient","C3_AEM","C3_recent","Early","Early_endemic","Early_native","Homegrown_C4s","Mid","Mid_endemic","Mid_native","Recent","lat","long","cell_category","proportion_cover","cell_id","amt","arid","ts","pwarmq","pcoldq","th","clay"
3.13449368438335,1.70837785683366,1.97602361368001,NA,NA,NA,NA,2.41475241441634,2.79923060489889,2.56725437064337,1.23924343829333,4.12785989871486,-12.51666645,133.71666575,"land",1,352,1.24058996619433,1.1676846701884,-2.06337916295016,0.941932801802807,-0.803612518414097,0.888531021495933,-1.44116284255023
3.06217525580292,NA,1.6100376890446,NA,NA,NA,NA,2.52091705357979,2.9044389691348,2.6691014541366,1.47430524542923,3.80575095519975,-12.51666645,134.54999905,"land",0.99,353,1.24566204510961,1.0171928415123,-1.97056616733268,1.20088845679599,-0.788085648923845,-0.0237656483785706,-0.628620480693298
2.82583323675859,NA,0.911077160219703,NA,NA,NA,NA,2.27685697416859,2.77071197894757,2.39379596608313,1.70492988071767,3.91563646413278,-12.51666645,135.38333235,"land",0.91,354,1.1952530862166,1.16367796037754,-2.06499194353146,2.10736463923686,-0.736582492349581,-0.285636970674035,-0.11666019496638
2.80650694320885,NA,NA,NA,NA,NA,NA,1.41827743468261,2.50421897765817,NA,1.11874169548071,3.25130426904336,-12.51666645,136.21666565,"land",0.8,355,1.18004449898651,1.38595720599783,-2.14846904894204,2.01431470321791,-0.604464638059202,-0.496050967438848,-0.317231747274896
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ocean",0.12,356,1.17277205936366,1.59836746556759,-2.2701763050502,1.7143490386055,-0.402413601462569,-0.587866486732263,-0.932503060364302
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ocean",0,361,1.16612822994704,2.07726258216612,-2.36877180019874,3.35612526536303,-0.810986270984191,-0.918420886607452,-1.31571354514204
3.25095573901949,NA,2.15454896727913,NA,1.79175946922805,NA,1.01160091167848,2.53417288685438,2.98739761830014,2.85209278900161,1.21104775151996,3.96949915002277,-12.51666645,142.04999875,"land",0.89,362,1.15338233681768,2.16739843983128,-2.32040200570212,3.21712399301006,-0.732174278585646,-0.657256838703381,0.951994538815825
2.90547929376143,NA,2.09556093763609,1.42983265674307,1.95727389692965,NA,1.57215130943383,1.95995392583311,2.40730541200947,1.66108112022708,1.77901186034494,4.08296336044393,-12.51666645,142.88333205,"land",0.92,363,1.03529451229208,2.36534693576557,-2.24323594800901,2.91683208607014,-0.392650207342366,0.154245947261328,-0.131575702779321
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.85261267006187,-12.51666645,143.71666535,"land",0.06,364,1.06715789520095,2.46064885079966,-2.30684300340087,3.07665624524432,0.117607665719375,-0.351154019600147,0.0996743846717604
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ocean",0,398,1.3898590168123,0.699263353445446,-1.78282730170128,-0.010171704766626,-0.778507169481672,-0.878697593342161,-0.0934705776566374
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ocean",0.06,401,1.21973108665239,0.953146808763821,-1.87963467581841,2.09884927747228,-0.801824855737978,-0.685491892186861,-0.407567438865103
2.8933118480622,NA,2.01223279453632,1.2404011659051,1.38604434798902,NA,1.38604434798902,1.95486991905187,2.61805252474059,2.01503633532489,1.84829731658331,3.97526067968677,-13.34999975,130.38333255,"land",0.83,402,1.27127577364886,1.09190565651257,-2.00758783121865,1.7310548498574,-0.828469164618013,-0.316211246914164,0.953455239051031
2.67104037019028,NA,1.04133620132381,0.959350181141431,NA,NA,NA,2.12477338631141,2.57998949692586,1.9722738103551,1.76078464984559,3.88277951449372,-13.34999975,131.21666585,"land",1,403,1.30839797365167,0.992519722454675,-2.00193870468662,1.25037905686592,-0.800760863384896,-0.0847545404917093,-0.476722106544087
2.9423842613897,NA,NA,NA,NA,NA,NA,2.54608013816393,2.83995525860898,2.55326598552002,1.42045419802024,4.0985357486066,-13.34999975,132.04999915,"land",1,404,1.40210769141777,0.961017961995553,-1.93544699127547,1.06993645859584,-0.743139371167826,0.176095680561256,-0.780250914715932
3.19269611084406,1.59635266129062,1.83226143573817,NA,NA,NA,NA,2.67978787621126,2.89120471031987,2.72674109904649,NA,4.27684666505388,-13.34999975,132.88333245,"land",1,405,1.23124765760322,1.0484934817633,-1.81482693384801,1.19807939065158,-0.778160285013916,1.26627404246077,-1.33437599279849
2.99051870189954,NA,NA,NA,NA,NA,NA,1.98485608241746,2.5759653847981,2.19722457733622,NA,3.59010826338105,-13.34999975,133.71666575,"land",1,406,1.08737016567606,0.924372959104405,-1.55702637490157,0.708919017058635,-0.788099204639857,0.13178370370982,-1.17726723649325
2.24272889101066,NA,NA,NA,NA,NA,NA,1.72561969796925,2.24272889101066,1.7600968234997,NA,3.73740764142485,-13.34999975,134.54999905,"land",1,407,1.26575012344663,0.775646018381766,-1.49597032530655,0.602042638588673,-0.794255385950273,0.0303254917557753,-0.840184455147291
2.72339850108946,NA,NA,NA,NA,NA,NA,2.0892681610472,2.53639157858731,2.05412375814873,NA,3.75653808476206,-13.34999975,135.38333235,"land",1,408,1.18839912010255,0.88994696313375,-1.59751046336521,1.39414228915604,-0.732648402888539,0.210949114584232,-0.824219819847181
2.28125926107499,NA,NA,NA,NA,NA,NA,NA,2.28125926107499,NA,NA,3.53210865317591,-13.34999975,136.21666565,"land",0.41,409,1.22043214227251,1.06788516090485,-1.89098906858799,1.47855848893747,-0.677151963559982,-0.734180026992769,-0.0416562846411252
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ocean",0.01,410,1.2169570122634,1.10408737963838,-1.88506913114773,0.824726112987957,-0.707955909575126,-0.741619522877905,-1.12826283280385
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.34999975,141.21666545,"land",0.06,415,1.19322506459921,1.61581813125551,-2.18825430244126,3.15198687171495,-0.815436801700358,-0.852745053770284,0.445789829855973
2.6694479744218,NA,NA,NA,NA,NA,NA,1.86019666046764,2.51729320241847,NA,NA,3.89069721247832,-13.34999975,142.04999875,"land",0.98,416,1.1373795498639,1.69973350363981,-2.16192027619218,3.11673483966877,-0.796040715782241,-0.50057891903284,0.577555437080393
2.91484749848954,NA,1.79508725615238,NA,NA,NA,NA,2.08069078965478,2.70711643601493,1.85269774460168,2.15292427856475,4.07762220417983,-13.34999975,142.88333205,"land",1,417,1.00872999394196,1.681351930399,-2.10712341924418,2.7608966138353,-0.581300252239359,0.20029797585159,0.130289895561032
